"Class","Accuracy","Precision","Recall"
"Tomato___Target_Spot","0.7037037","0.82608694","0.7037037"
"Tomato___Leaf_Mold","0.85714287","0.8780488","0.85714287"
"Strawberry___Leaf_scorch","0.88135594","0.962963","0.88135594"
"Apple___Black_rot","0.89285713","0.90909094","0.89285713"
"Strawberry___healthy","0.86206895","0.89285713","0.86206895"
"Corn_(maize)___Common_rust_","0.983871","0.96825397","0.983871"
"Potato___Early_blight","1.0","0.9852941","1.0"
"Apple___healthy","0.7184466","0.96103895","0.7184466"
"Potato___healthy","0.9263158","0.94623655","0.9263158"
"Tomato___Early_blight","0.8131868","0.78723407","0.8131868"
"Blueberry___healthy","0.976","0.953125","0.976"
"Pepper,_bell___Bacterial_spot","0.9212598","0.8181818","0.9212598"
"Grape___Esca_(Black_Measles)","0.9444444","0.8040541","0.9444444"
"Peach___healthy","0.8606061","0.95302016","0.8606061"
"Cherry_(including_sour)___Powdery_mildew","0.96","0.96","0.96"
"Grape___Black_rot","0.7876712","0.76666665","0.7876712"
"Tomato___Bacterial_spot","0.8493976","0.94","0.8493976"
"Grape___Leaf_blight_(Isariopsis_Leaf_Spot)","0.9556962","0.9556962","0.9556962"
"Potato___Late_blight","0.9937107","0.98136646","0.9937107"
"Peach___Bacterial_spot","0.9695122","0.9578313","0.9695122"
"Orange___Haunglongbing_(Citrus_greening)","1.0","1.0","1.0"
"Tomato___Tomato_mosaic_virus","0.95238096","0.9039548","0.95238096"
"Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot","0.9888268","0.9888268","0.9888268"
"Tomato___Tomato_Yellow_Leaf_Curl_Virus","0.9354839","0.97596157","0.9354839"
"Grape___healthy","0.82666665","0.8815166","0.82666665"
"Corn_(maize)___healthy","0.97596157","0.9144144","0.97596157"
"Apple___Cedar_apple_rust","0.9527897","0.9866667","0.9527897"
"Soybean___healthy","1.0","0.9790795","1.0"
"Tomato___Late_blight","0.90421456","0.9554656","0.90421456"
"Tomato___healthy","0.9160305","0.9561753","0.9160305"
"Cherry_(including_sour)___healthy","0.8327526","0.89849627","0.8327526"
"Apple___Apple_scab","0.971223","0.9818182","0.971223"
"Tomato___Spider_mites Two-spotted_spider_mite","0.95238096","0.83623695","0.95238096"
"Raspberry___healthy","0.9198813","0.97178686","0.9198813"
"Pepper,_bell___healthy","0.9526627","0.93333334","0.9526627"
"Squash___Powdery_mildew","0.9931694","0.9515707","0.9931694"
"Corn_(maize)___Northern_Leaf_Blight","0.99623114","0.9863184","0.99623114"
"Tomato___Septoria_leaf_spot","0.995116","0.98668283","0.995116"
