"Class","Accuracy","Precision","Recall"
"Tomato___Target_Spot","0.8333333","0.33333334","0.8333333"
"Tomato___Leaf_Mold","0.6875","0.8148148","0.6875"
"Strawberry___Leaf_scorch","0.82758623","0.6666667","0.82758623"
"Apple___Black_rot","0.8484849","0.7567568","0.8484849"
"Strawberry___healthy","0.8125","0.7027027","0.8125"
"Corn_(maize)___Common_rust_","0.80487806","0.78571427","0.80487806"
"Potato___Early_blight","0.85714287","0.8","0.85714287"
"Apple___healthy","0.7948718","0.60784316","0.7948718"
"Potato___healthy","0.5697674","0.7903226","0.5697674"
"Tomato___Early_blight","0.8","0.63492066","0.8"
"Blueberry___healthy","0.88372093","0.89411765","0.88372093"
"Pepper,_bell___Bacterial_spot","0.7721519","0.6421053","0.7721519"
"Grape___Esca_(Black_Measles)","0.75","0.85714287","0.75"
"Peach___healthy","0.68235296","0.5858586","0.68235296"
"Cherry_(including_sour)___Powdery_mildew","0.9072165","0.88","0.9072165"
"Grape___Black_rot","0.40336135","0.48","0.40336135"
"Tomato___Bacterial_spot","0.8152174","0.75","0.8152174"
"Grape___Leaf_blight_(Isariopsis_Leaf_Spot)","0.9191919","0.8666667","0.9191919"
"Potato___Late_blight","0.9142857","0.8888889","0.9142857"
"Peach___Bacterial_spot","0.8595041","0.9369369","0.8595041"
"Orange___Haunglongbing_(Citrus_greening)","0.9504132","0.9913793","0.9504132"
"Tomato___Tomato_mosaic_virus","0.808","0.8559322","0.808"
"Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot","0.9586777","0.9747899","0.9586777"
"Tomato___Tomato_Yellow_Leaf_Curl_Virus","0.91851854","0.8920863","0.91851854"
"Grape___healthy","0.79545456","0.7446808","0.79545456"
"Corn_(maize)___healthy","0.8888889","0.9189189","0.8888889"
"Apple___Cedar_apple_rust","0.875","0.92715234","0.875"
"Soybean___healthy","0.9447853","0.9685535","0.9447853"
"Tomato___Late_blight","0.8333333","0.8787879","0.8333333"
"Tomato___healthy","0.8333333","0.8333333","0.8333333"
"Cherry_(including_sour)___healthy","0.65317917","0.6384181","0.65317917"
"Apple___Apple_scab","0.9673913","0.9673913","0.9673913"
"Tomato___Spider_mites Two-spotted_spider_mite","0.6931217","0.68586385","0.6931217"
"Raspberry___healthy","0.9018692","0.9061033","0.9018692"
"Pepper,_bell___healthy","0.8515284","0.84782606","0.8515284"
"Squash___Powdery_mildew","0.9354839","0.9685658","0.9354839"
"Corn_(maize)___Northern_Leaf_Blight","0.97709924","0.95522386","0.97709924"
"Tomato___Septoria_leaf_spot","0.9765343","0.98185116","0.9765343"
