"Class","Accuracy","Precision","Recall"
"Tomato___Target_Spot","0.9677419","1.0","0.9677419"
"Tomato___Leaf_Mold","1.0","1.0","1.0"
"Strawberry___Leaf_scorch","1.0","1.0","1.0"
"Apple___Black_rot","1.0","1.0","1.0"
"Strawberry___healthy","1.0","1.0","1.0"
"Corn_(maize)___Common_rust_","1.0","1.0","1.0"
"Potato___Early_blight","1.0","1.0","1.0"
"Apple___healthy","0.9895833","0.9223301","0.9895833"
"Potato___healthy","0.992","1.0","0.992"
"Tomato___Early_blight","1.0","1.0","1.0"
"Blueberry___healthy","0.99418604","1.0","0.99418604"
"Pepper,_bell___Bacterial_spot","1.0","1.0","1.0"
"Grape___Esca_(Black_Measles)","0.9607843","0.99492383","0.9607843"
"Peach___healthy","1.0","1.0","1.0"
"Cherry_(including_sour)___Powdery_mildew","1.0","0.995","1.0"
"Grape___Black_rot","0.990099","1.0","0.990099"
"Tomato___Bacterial_spot","1.0","1.0","1.0"
"Grape___Leaf_blight_(Isariopsis_Leaf_Spot)","1.0","1.0","1.0"
"Potato___Late_blight","1.0","1.0","1.0"
"Peach___Bacterial_spot","1.0","1.0","1.0"
"Orange___Haunglongbing_(Citrus_greening)","0.99570817","1.0","0.99570817"
"Tomato___Tomato_mosaic_virus","1.0","1.0","1.0"
"Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot","1.0","1.0","1.0"
"Tomato___Tomato_Yellow_Leaf_Curl_Virus","0.99640286","1.0","0.99640286"
"Grape___healthy","0.99642855","0.99288255","0.99642855"
"Corn_(maize)___healthy","1.0","0.9966216","1.0"
"Apple___Cedar_apple_rust","1.0","1.0","1.0"
"Soybean___healthy","1.0","0.9968553","1.0"
"Tomato___Late_blight","1.0","0.99696046","1.0"
"Tomato___healthy","0.9940653","1.0","0.9940653"
"Cherry_(including_sour)___healthy","1.0","1.0","1.0"
"Apple___Apple_scab","1.0","1.0","1.0"
"Tomato___Spider_mites Two-spotted_spider_mite","1.0","1.0","1.0"
"Raspberry___healthy","1.0","0.99764705","1.0"
"Pepper,_bell___healthy","1.0","1.0","1.0"
"Squash___Powdery_mildew","1.0","0.997053","1.0"
"Corn_(maize)___Northern_Leaf_Blight","1.0","1.0","1.0"
"Tomato___Septoria_leaf_spot","1.0","1.0","1.0"
