"Class","Accuracy","Precision","Recall"
"Tomato___Target_Spot","0.0","0.0","0.0"
"Tomato___Leaf_Mold","0.0","0.0","0.0"
"Strawberry___Leaf_scorch","0.0","0.0","0.0"
"Apple___Black_rot","0.0","0.0","0.0"
"Strawberry___healthy","0.0","0.0","0.0"
"Corn_(maize)___Common_rust_","0.0","0.0","0.0"
"Potato___Early_blight","0.0","0.0","0.0"
"Apple___healthy","0.0","0.0","0.0"
"Potato___healthy","0.0","0.0","0.0"
"Tomato___Early_blight","0.0","0.0","0.0"
"Blueberry___healthy","0.0","0.0","0.0"
"Pepper,_bell___Bacterial_spot","0.0","0.0","0.0"
"Grape___Esca_(Black_Measles)","0.0","0.0","0.0"
"Peach___healthy","0.0","0.0","0.0"
"Cherry_(including_sour)___Powdery_mildew","0.0","0.0","0.0"
"Grape___Black_rot","0.0","0.0","0.0"
"Tomato___Bacterial_spot","0.0","0.0","0.0"
"Grape___Leaf_blight_(Isariopsis_Leaf_Spot)","0.0625","0.006329114","0.0625"
"Potato___Late_blight","0.0","0.0","0.0"
"Peach___Bacterial_spot","0.45454547","0.060240965","0.45454547"
"Orange___Haunglongbing_(Citrus_greening)","0.35470086","0.4770115","0.35470086"
"Tomato___Tomato_mosaic_virus","0.0","0.0","0.0"
"Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot","0.0","0.0","0.0"
"Tomato___Tomato_Yellow_Leaf_Curl_Virus","0.23175965","0.2596154","0.23175965"
"Grape___healthy","0.1375","0.1563981","0.1375"
"Corn_(maize)___healthy","0.0","0.0","0.0"
"Apple___Cedar_apple_rust","0.08571429","0.026666667","0.08571429"
"Soybean___healthy","0.22871046","0.39330545","0.22871046"
"Tomato___Late_blight","0.18181819","0.072874494","0.18181819"
"Tomato___healthy","0.12613982","0.3306773","0.12613982"
"Cherry_(including_sour)___healthy","0.0","0.0","0.0"
"Apple___Apple_scab","0.18004338","0.3018182","0.18004338"
"Tomato___Spider_mites Two-spotted_spider_mite","0.0","0.0","0.0"
"Raspberry___healthy","0.14655173","0.106583074","0.14655173"
"Pepper,_bell___healthy","0.18181819","0.046376813","0.18181819"
"Squash___Powdery_mildew","0.30239373","0.81020945","0.30239373"
"Corn_(maize)___Northern_Leaf_Blight","0.29004616","0.5472637","0.29004616"
"Tomato___Septoria_leaf_spot","0.37261504","0.8038741","0.37261504"
